GW-Nummer,RECHTSWERT,HOCHWERT,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,buek_1000_lba,humus_1000,hyraum_tr,preidl,thuenen,mundialis,swr1000,NDVI,DHM,stream_dist,PD
0011/508-3,516310.23725721205,5439258.003158121,58.8,32.006749974318716,24.94874282731511,32.621982499584725,26.352277401300746,34.4256938028436,28.504426234576602,24.161227446869137,23.522599454274093,37.264613526570045,22.901349823966026,198.25044,6564,203,1104.5361,0.06816603
0011/521-5,514015.6579487826,5299387.145960805,8.566666666666666,21.68469643099998,29.410839473109835,21.63422205031631,18.988739572118057,21.694208880033564,18.13749049508475,24.34838678910636,13.700309330148832,18.802605645916465,14.885978639115322,450.4843,7668,681,2325.9407,0.018590735
0011/604-0,546709.2501086665,5494004.064433198,35.29545454545455,28.320481359955053,18.888213067802138,21.63422205031631,26.955423668405174,24.673790514351843,28.504426234576602,26.197374767443005,23.522599454274093,29.330417887020488,22.901349823966026,240.203,7568,214,0.0,0.043378383
0011/607-9,539374.0397826282,5452358.798209834,2.0,28.519649722870422,16.14765832943913,32.621982499584725,27.25165679048167,18.3452777014652,28.504426234576602,24.161227446869137,23.774053949848756,37.264613526570045,22.901349823966026,314.19836,6176,283,921.95447,0.08055986
0011/657-7,553101.5718339925,5454642.775914382,2.86,28.519649722870422,16.14765832943913,32.621982499584725,27.25165679048167,18.3452777014652,28.504426234576602,24.161227446869137,23.522599454274093,34.24352396514162,22.901349823966026,424.84717,7192,379,2594.2244,0.055772208
0011/658-0,555965.087803103,5448708.476386011,31.82,28.519649722870422,16.14765832943913,32.621982499584725,27.25165679048167,20.20135929521678,28.504426234576602,24.161227446869137,27.136624979958313,34.24352396514162,32.94428995206449,443.8633,6295,437,1627.8821,0.043378383
0011/671-8,554207.9907767668,5303706.002603419,0.5,22.58346409752967,21.2334404358268,21.63422205031631,18.988739572118057,21.694208880033564,15.285560202880214,25.006545388084138,13.700309330148832,18.802605645916465,22.901349823966026,424.03522,8009,590,2256.1028,0.055772208
0012/070-3,402203.49810919305,5312608.426958339,48.24555555555556,23.987910153631063,18.888213067802138,32.621982499584725,17.680982252638767,41.662142857142854,21.77232508866828,21.773645374910725,28.846468253968254,39.893830409356724,27.599165140415142,186.31635,4828,200,100.0,0.09915059
0012/074-4,399609.599358819,5266566.832610185,5.128571428571428,22.58346409752967,18.888213067802138,16.71525461062019,17.680982252638767,20.20135929521678,18.13749049508475,26.197374767443005,20.685096380783335,18.802605645916465,22.901349823966026,381.5038,5752,262,282.8427,0.086756766
0012/162-7,437279.570843355,5397094.928263774,34.75416666666667,23.987910153631063,18.888213067802138,21.63422205031631,17.680982252638767,20.30756210390139,28.504426234576602,21.773645374910725,23.522599454274093,21.52757275804285,22.901349823966026,635.5862,7498,131,141.42136,0.06196912
0012/262-0,455212.449980784,5394251.123627738,3.38,10.222417695473252,16.14765832943913,11.493313819987776,8.04156339869281,15.718011907727398,18.13749049508475,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,1170.4796,7933,675,2193.1711,0.049575295
0012/268-0,454805.6148108419,5336264.070254277,9.025,6.797529761904762,5.001063443223443,11.493313819987776,14.35045426065163,11.286283577533577,18.13749049508475,7.989695210449927,13.700309330148832,18.802605645916465,14.885978639115322,598.5843,7950,772,1236.9316,0.03718147
0012/317-4,473089.3375145679,5338944.091510773,26.6,28.519649722870422,16.14765832943913,15.755847977005795,27.25165679048167,20.136589421403762,28.504426234576602,26.197374767443005,23.774053949848756,18.802605645916465,22.901349823966026,384.03055,6733,568,223.6068,0.024787648
0012/318-7,465418.41698137205,5336409.19541164,20.641666666666666,31.74928320283973,18.888213067802138,22.76233892256531,24.86623683821948,24.673790514351843,18.13749049508475,26.197374767443005,20.685096380783335,18.802605645916465,22.901349823966026,540.44525,7119,634,0.0,0.018590735
0012/320-9,474334.8790052194,5307555.530860042,9.04,17.379100752159104,15.073246184536286,22.76233892256531,16.426468402870842,20.20135929521678,18.13749049508475,17.69096373000219,20.685096380783335,18.802605645916465,22.901349823966026,384.28934,7079,664,200.0,0.055772208
0012/361-6,478345.3204655693,5415824.493169801,34.9,31.74928320283973,29.410839473109835,27.55329200713816,29.15184119541536,34.4256938028436,21.77232508866828,26.197374767443005,20.685096380783335,18.802605645916465,21.393505048413203,242.12741,3898,286,583.0952,0.09915059
0012/364-4,477702.5741172046,5373015.574876869,32.84,28.320481359955053,24.285737193895233,16.44231857149574,24.86623683821948,24.673790514351843,18.13749049508475,26.197374767443005,13.700309330148832,21.52757275804285,22.901349823966026,495.27484,7759,476,100.0,0.055772208
0012/467-7,507917.483153765,5348300.53354164,7.125,17.379100752159104,35.211587174399675,16.71525461062019,16.47313463640167,24.673790514351843,18.13749049508475,17.92783849941305,20.685096380783335,18.802605645916465,22.901349823966026,486.25006,5604,725,1303.8405,0.049575295
0012/507-0,514538.9621539143,5454946.729927588,23.74,17.379100752159104,18.888213067802138,21.63422205031631,26.955423668405174,20.20135929521678,28.504426234576602,26.197374767443005,23.522599454274093,24.03742257980718,32.94428995206449,299.90912,7391,152,100.0,0.07436294
0012/569-7,536759.918587502,5319011.282628663,34.93333333333333,22.58346409752967,29.410839473109835,16.71525461062019,19.477526341970787,19.0296322496761,28.504426234576602,25.006545388084138,20.685096380783335,18.802605645916465,21.393505048413203,317.85715,4732,579,200.0,0.06196912
