Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;humus_1000;hyraum_tr;Thuenen_2019;mundialis;NDVI
58.58;286;17;15;514;5;6402;10;20;7156
17.46666667;321;5;15;98;8;4101;10;20;7634
58.8;521;17;12;597;5;6301;31;20;6564
8.566666667;290;14;15;98;7;4101;888;10;7668
35.29545455;537;32;15;603;5;6203;160;20;7568
2;524;2;12;598;5;6301;31;20;6176
2.86;524;2;12;598;5;6301;33;20;7192
31.82;524;2;12;598;5;6301;33;60;6295
0.5;321;12;15;98;8;4104;888;20;8009
48.24555556;267;32;12;24;12;3101;140;50;4828
5.128571429;321;32;3;24;7;6203;888;20;5752
34.75416667;267;32;15;24;5;3101;555;20;7498
3.38;1065;2;17;615;7;10101;888;10;7933
9.025;559;3;17;612;7;6202;888;10;7950
26.6;524;2;18;598;5;6203;888;20;6733
20.64166667;544;32;2;602;7;6203;888;20;7119
9.04;469;5;2;583;7;6302;888;20;7079
34.9;544;14;1;604;12;6203;888;40;3898
32.84;537;28;16;602;7;6203;555;20;7759
7.125;469;15;3;579;7;6402;888;20;5604
23.74;469;32;15;603;5;6203;10;60;7391
34.93333333;321;14;3;33;5;4104;888;40;4732
22.16;290;5;15;98;8;4104;160;20;7045
17.72;465;2;15;612;7;6201;555;20;5583
66.43333333;324;14;2;515;7;4104;888;20;7168
10.16;469;32;14;607;7;6203;555;20;6879
22.43076923;321;12;15;98;8;4104;555;20;7669
9.566666667;324;5;3;24;12;4104;888;40;4528
12.76666667;569;28;16;579;7;6402;888;10;8315
34.11111111;267;32;12;24;5;3101;92;60;6366
2.088888889;559;3;21;615;7;6202;888;10;8387
11.05;537;5;15;602;7;6203;888;20;6493
6.866666667;557;2;17;612;7;6202;888;10;8373
30.08571429;530;28;16;598;5;6203;888;10;7953
14.375;469;22;3;607;12;6203;888;40;3661
26.2;321;5;12;579;7;4104;31;60;7085
15.45;469;17;3;579;7;6402;888;40;5130
32.1;290;14;2;223;5;4101;888;40;4923
24.68888889;567;5;15;579;7;6402;888;20;7547
40.5;530;15;12;603;5;6203;60;60;5929
29.54705882;303;32;16;579;7;6402;888;10;7571
52.44;513;2;2;585;7;6302;888;20;6733
16.8;321;32;3;24;7;6203;888;50;6589
54.42352941;537;32;15;603;12;6203;888;20;6452
4.175;469;22;3;607;12;6203;888;40;4459
7.875;469;32;15;579;7;6402;10;20;8243
38.05;321;14;12;98;7;4104;31;60;6561
9.7;469;32;3;579;7;6402;888;40;6494
23.775;321;14;15;98;8;4104;120;20;6778
9.64;548;32;15;610;7;6201;10;20;7488
14.1;569;5;2;579;7;6402;888;40;7161
45.06666667;515;2;12;596;7;6301;160;20;6757
43.09714286;530;34;12;603;5;6203;555;60;5571
52.88;530;2;12;598;5;6203;92;60;6893
42.12666667;530;28;12;598;5;6203;33;10;5681
54.8125;544;28;15;604;5;6203;888;20;7607
28.75;519;2;2;597;5;6301;888;40;5784
47.15555556;495;32;2;579;7;6402;888;40;7053
20;321;2;15;98;8;4104;10;20;7872
13.08333333;508;5;15;585;7;6302;888;20;7011
10.475;559;2;15;610;7;6202;10;20;7412
22.2125;544;28;15;602;7;6203;10;20;7301
