GW-Nummer,GWL,x,y,eusr5000,aet,pdsi,pet,soil,srad,swe,NDVI,DHM
375,189.963,396618.7216,5318586.063,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.6061,191
376,190.4011,402868.2255,5320298.373,133.5734,51.7567,-0.9564,65.4158,42.1625,135.5467,2.3417,0.6809,190
377,135.0948,426154.0256,5385514.503,133.5734,50.7133,-1.4238,62.1108,50.88,132.135,2.675,0.536,136
378,142.8911,419010.8634,5374380.919,133.5734,51.0183,-1.474,63.955,50.725,132.4642,2.0917,0.8666,156
379,107.8915,442685.462,5418302.487,120.7396,49.0583,-1.4246,63.0875,46.6533,131.9092,2.7667,0.8725,121
380,113.6314,455869.2268,5422695.734,133.5734,49.8917,-1.6081,63.2825,49.5958,131.0025,3.0583,0.6799,117
381,101.7683,467407.6916,5455946.48,120.7396,46.3758,-1.848,64.4892,50.1192,129.06,2.1333,0.7656,112
382,143.4763,410655.2001,5368737.165,120.7396,50.0325,-1.5368,64.4483,49.1733,132.8783,1.9167,0.6736,143
383,177.3961,407826.2586,5333767.051,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.6224,179
384,131.5716,416747.7906,5385114.662,120.7396,50.0383,-1.5332,64.8317,49.06,132.2667,1.925,0.7342,139
385,142.7221,420176.3979,5375218.586,133.5734,51.7025,-1.4128,63.8683,51.2642,132.2917,2.375,0.7016,143
386,94.7745,472652.6408,5493600.543,133.5734,45.7708,-2.0022,63.8375,53.9683,126.1092,1.975,0.6638,97
387,107.6344,468516.2386,5442286.921,133.5734,46.9308,-1.814,64.1158,49.5983,129.5933,2.2167,0.5821,111
388,192.251,398830.8587,5314402.724,120.7396,50.0725,-0.9068,65.42,39.795,135.8467,1.9333,0.6723,199
389,134.7457,412079.6486,5380042.675,120.7396,50.28,-1.5935,65.3317,49.1117,132.1,1.6417,0.5687,140
390,115.2002,434481.7236,5405571.543,120.7396,50.3958,-1.3568,63.8742,46.1092,131.915,2.325,0.4782,123
391,131.9172,443964.9487,5407080.949,133.5734,52.4867,-1.1722,63.85,50.0992,131.92,3.3083,0.7631,132
392,105.4278,472944.4802,5448832.293,133.5734,47.2525,-1.8105,63.93,51.6992,129.2183,2.5,0.5267,109
393,177.7752,409150.7393,5334484.766,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.5292,177
394,107.9979,444273.8298,5418177.536,120.7396,49.0583,-1.4246,63.0875,46.6533,131.9092,2.7667,0.7277,112
