x,y,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,humus_1000,hyraum_tr,Thuenen_2019,mundialis,NDVI
443628.0479,5412423.829,2.42,263,32,3,85,5,3101,888,40,3927
450554.2789,5391432.136,3.45,559,2,17,615,8,6202,888,10,8541
457975.3584,5328222.345,15.6375,544,4,15,612,7,6202,10,20,8048
468145.3435,5364907.817,30.4,530,28,16,594,7,6203,888,10,8284
471271.1031,5338408.303,32.98888889,530,28,16,602,7,6203,888,20,8102
464778.6919,5311194.068,0.6,467,5,3,24,7,6301,888,50,4393
484081.0111,5383985.143,38.00666667,537,28,18,602,7,6203,888,20,7890
482806.5167,5333010.493,11.91428571,505,28,17,583,7,6302,888,10,8228
497885.5289,5347144.893,8.02,573,28,17,579,7,6402,888,10,8024
511252.1802,5416858.954,5.8,524,2,2,598,5,6301,888,40,5350
525894.6156,5485475.469,12.38,544,28,3,607,5,6203,888,40,5784
526584.1495,5454077.109,33.56190476,469,32,12,603,5,6301,555,20,6584
532586.5553,5409310.003,7.716666667,515,2,17,596,5,6301,888,10,8656
536879.9914,5447709.605,0.5,521,14,3,597,5,6301,888,40,4007
539059.2087,5317561.706,36.12222222,321,14,12,113,5,4104,91,20,6808
555083.8402,5482735.522,20.60833333,544,32,11,607,12,6203,888,20,4721
553046.5378,5458077.462,4.1,469,32,2,607,7,6203,888,20,6908
556991.8544,5297347.075,11.0125,290,17,16,98,8,4101,888,10,8319
565998.1112,5400098.671,5.977777778,505,17,16,579,7,6402,888,10,8700
580912.4088,5321626.562,23.86,321,14,2,113,5,4104,888,40,4935
437417.5768,5291005.056,3.16,1065,2,17,833,8,10101,888,10,8396
461470.0581,5453157.622,10.51,263,2,12,85,8,3101,888,40,5471
467618.5173,5307019.812,0.5,508,5,15,583,5,6302,888,20,7410
487636.1115,5421404.928,12.76666667,469,32,11,603,7,6203,888,20,5729
483755.145,5393881.257,22.725,548,17,15,602,7,6203,888,20,7053
486477.6925,5336830.856,5.375,505,17,17,579,7,6302,888,10,8522
483551.2577,5287883.507,9.69,299,14,21,113,7,4101,888,20,6964
493318.4232,5454682.897,27.32727273,530,32,21,603,12,6203,999,20,7034
496658.0077,5419845.789,32.2,469,32,1,603,5,6203,555,20,4609
492790.4782,5299921.7,23.28,321,5,12,579,7,4104,91,20,7135
504925.2101,5447791.985,25.81875,521,32,12,597,5,6301,80,20,8287
515845.2347,5393927.136,50.1,508,15,2,585,7,6302,888,20,5000
521665.9168,5368528.385,6.725,505,28,16,579,7,6402,888,10,8782
546906.1251,5465630.478,42.66,544,28,2,604,7,6203,888,40,7784
539490.8344,5317386.813,47.83333333,321,14,12,113,5,4104,888,20,6255
560910.4184,5448689.16,51.6,524,34,12,598,5,6301,60,60,6301
577060.9413,5458608.165,27.21666667,524,17,15,598,5,6301,31,20,6560
575424.5444,5440442.508,0.366666667,521,5,2,597,7,6301,888,40,5865
602441.5789,5419634.675,16.83478261,482,17,12,512,5,6501,10,40,6323
390778.0082,5290857.122,8.266666667,267,17,7,24,7,3101,888,50,6449
457473.6432,5440612.65,6.476923077,263,14,12,65,5,3101,888,40,5197
455296.4039,5383042.496,4.8,503,3,15,615,7,10101,888,10,8412
457941.366,5317406.692,22.1375,544,17,15,602,7,6203,10,20,7192
485478.4941,5390807.412,31.31666667,537,28,15,602,7,6203,888,20,7592
475802.3164,5306390.046,9.7,573,12,15,579,7,6402,555,20,6861
483081.386,5299908.618,23.52,567,17,2,579,8,6402,888,10,6425
489753.7363,5381346.302,32.03,524,5,12,598,5,6301,888,20,6431
488014.4122,5325333.632,9.5,573,28,16,579,7,6402,888,20,8118
508581.4085,5465786.419,18.125,544,28,2,607,7,6203,888,40,6512
509860.7194,5423376.436,7.26,469,32,15,603,7,6203,555,20,6636
501205.1787,5344166.116,23.025,573,17,1,579,7,6402,888,40,6314
506462.033,5335884.409,12.2,495,28,2,579,7,6402,888,20,5979
535449.8546,5488058.455,43.075,530,34,12,603,5,6203,10,10,6917
546250.4039,5470074.633,0.94,469,32,3,607,7,6203,888,40,4659
537014.9735,5459600.921,9.76,469,32,15,604,5,6203,888,20,6212
557151.8436,5439782.669,0.32,524,2,3,598,7,6301,888,40,5861
559100.9306,5328734.082,23.06,321,5,3,24,12,4104,888,40,5200
552697.5824,5303946.337,40.525,321,14,12,98,8,4104,91,60,6961
566314.2591,5458265.368,7.928571429,524,34,15,598,7,6301,555,20,7711
565338.5864,5441771.957,49.2,524,14,15,598,5,6301,888,40,5945
576446.1746,5457091.748,39.98,524,5,12,598,5,6301,92,60,5888
578093.4808,5442661.598,1.225,471,5,2,598,12,6301,888,10,5398
454018.9476,5371736.047,4.1,559,3,2,615,8,6202,888,10,6526
459720.6989,5355136.612,9.475,548,3,17,602,7,6202,888,10,8035
467137.6498,5319510.853,5.171428571,517,2,15,585,7,6301,10,20,7743
479518.8697,5439575.919,41.84,521,17,14,94,5,6301,999,40,6168
487102.8307,5399523.961,15.4,548,17,12,602,7,6203,10,20,6611
483681.1654,5384664.911,26.58333333,544,28,2,602,7,6203,888,20,5918
487363.6465,5317116.806,7.0375,469,32,15,579,7,6402,10,20,8036
495112.5965,5340322.611,4.175,505,17,15,583,7,6402,10,20,7819
505322.6546,5450748.564,27.90869565,524,32,12,598,5,6301,555,20,5389
519736.705,5387333.898,53.66666667,508,14,12,585,5,6302,888,20,7277
523795.2555,5291596.258,10.86666667,290,14,12,24,7,4101,888,20,7957
535039.9976,5497945.541,50.42941176,548,17,12,607,5,6201,10,20,7107
528394.5752,5484523.893,45.96,544,17,2,607,5,6203,888,40,6176
529157.9669,5371385.226,17.46,303,17,2,579,7,6402,888,40,4615
531780.8829,5356737.16,23.94,495,28,15,579,7,6402,888,20,8048
525286.1659,5323278.579,20.7,321,5,12,24,5,4104,555,20,6912
531463.14,5301404.265,14.65,321,14,15,98,3,4101,10,20,7027
540108.0087,5505058.653,41.81052632,557,32,16,612,7,6201,888,10,8341
538508.4173,5466584.152,40.94,530,28,3,603,5,6203,888,40,6395
561887.9832,5451517.044,3.14,524,34,12,598,5,6301,120,40,5981
572305.5517,5360694.469,13.03076923,324,5,1,24,12,4104,888,40,4120
601660.878,5408785.931,39.675,567,28,16,512,7,6402,888,10,8523
455496.3261,5368552.342,5.55,557,3,18,610,7,6202,888,20,7873
458354.3537,5357760.459,15.2,548,4,15,610,7,6202,10,20,8099
480656.4387,5416793.129,41.775,544,14,3,607,12,6203,888,40,7129
480659.387,5396343.279,13.775,557,32,3,615,7,6202,888,40,7057
483405.2779,5393766.23,25.55,548,17,2,602,7,6203,888,40,5349
484460.8411,5356499.199,32.95,524,14,15,598,5,6301,10,20,7069
483879.0791,5320278.539,29.3,505,32,3,583,7,6402,888,40,6845
475953.1976,5307521.548,17.425,469,32,3,583,7,6402,888,40,6068
488433.3013,5332016.904,7.64,505,28,16,579,7,6402,888,20,8396
508773.5883,5316379.273,31.86,290,14,15,223,5,4104,888,20,6625
521146.417,5473903.153,20.46666667,537,32,15,603,5,6203,10,20,7168
512698.6542,5344480.017,6.36,495,28,15,579,7,6402,888,20,7681
522654.4564,5289803.176,19.55454545,321,5,14,113,7,4104,160,20,6668
542596.7676,5460663.503,11.08,469,32,3,604,7,6203,888,40,5734
539468.7694,5318373.459,70.07142857,321,14,15,113,7,4104,888,20,6473
559541.2232,5332553.29,33.49090909,321,32,16,24,5,4104,888,20,7483
552409.6891,5303251.684,27.05,321,14,15,98,8,4104,10,20,7773
575894.3446,5454796.736,61.8375,524,5,12,598,5,6301,91,40,6773
577064.9135,5444106.931,3.8,524,34,2,598,12,6203,888,40,5570
603090.3007,5412901.459,67.8625,482,17,12,511,5,6501,31,60,6178
461778.8377,5353317.426,20.57333333,530,2,17,602,7,6203,888,10,7104
474549.8088,5389402.982,14.68333333,557,2,15,612,7,6202,555,10,8017
480434.1237,5416133.476,22.73333333,465,32,10,607,12,6203,888,10,8139
484551.2398,5397107.108,18.25,544,34,3,602,7,6203,888,40,6070
483354.3521,5389666.915,13.04285714,544,28,15,602,7,6202,888,20,7802
478280.2834,5350352.663,2.866666667,515,34,15,594,7,6302,888,20,8046
483407.2062,5317539.661,11.3,505,17,3,579,7,6402,888,20,5372
499426.8834,5346770.061,15.0375,573,28,15,579,7,6402,10,20,7429
502426.9611,5481567.189,5.25,559,2,16,615,7,6201,888,10,7526
