GW-Nummer,x,y,Nitrat,huek_250_he*,buek_200_bodtyp*,clc5_2018*,gk_1000*,humus_1000*,hyraum_tr*,Thuenen_2019*,mundialis*,NDVI
1465,451871.9472,5430525.613,11.8,263,5,11,65,13,3101,888,20,6535
1466,471501.1149,5481211.459,46.85,263,14,12,24,5,3101,888,20,5767
1467,466985.9181,5484760.142,21.85,263,2,2,24,12,3101,888,40,4327
1468,475519.4739,5478722.401,55.31111111,265,14,12,834,5,3101,888,40,5636
1469,475103.7209,5480452.738,33.48888889,263,15,2,834,5,3101,888,40,4504
1470,517112.4497,5404053.307,0.685714286,469,22,3,24,13,6301,888,40,4596
1471,467601.6569,5474830.946,38.65555556,263,2,17,65,7,3101,888,10,8166
1472,467601.6831,5475508.68,26.9,263,14,15,65,7,3101,160,60,7657
1473,467626.6857,5476498.341,26.0875,263,2,17,65,7,3101,888,10,7267
1474,472992.5795,5482127.091,73.59,263,14,12,24,5,3101,10,60,5558
1475,472810.6323,5480231.871,46.7,263,14,12,24,5,3101,555,20,6428
1476,516277.1408,5406986.943,10.21666667,469,32,3,24,13,6301,888,40,4781
1477,472610.6911,5474289.161,21.92941176,263,14,12,24,5,3101,888,20,5934
1478,464721.8678,5480791.67,49.625,263,5,2,24,12,3101,888,10,5549
1479,466166.2341,5476806.252,35.3,263,2,18,65,7,3101,888,10,6628
1480,474220.0253,5481015.501,65.11111111,263,14,12,444,5,3101,33,60,5803
1481,472754.0878,5479890.729,33.47777778,263,14,2,24,5,3101,888,60,6125
1482,468146.5083,5476936.105,28.3,263,2,3,65,7,3101,888,20,4230
1483,458585.0096,5430408.957,9.466666667,263,2,17,85,7,3101,888,10,7744
1484,479033.0164,5377257.919,14.74,548,17,3,610,7,6203,888,40,5795
1485,542822.5162,5422424.68,12.3,515,2,15,596,5,6301,555,10,7545
1486,546454.9981,5413378.33,8.8,508,2,3,585,7,6302,888,20,4910
1487,413280.0917,5377846.587,0.5,267,32,12,24,5,3101,92,20,7235
1488,562701.6368,5281143.574,9.866666667,321,42,2,98,12,4101,888,40,6498
1489,409868.4625,5354010.021,7.1625,267,12,15,85,8,3101,555,10,7754
1490,419530.6353,5382482.654,0.5,267,5,15,24,5,3101,555,20,8056
1491,415128.4041,5381645.043,0.566666667,267,32,12,24,5,3101,555,10,6724
1492,568412.1036,5356216.25,50.86,321,12,3,516,5,4104,888,20,5843
1493,575969.1631,5298100.813,15.875,321,14,3,24,8,4104,888,40,3016
1494,416644.804,5376256.161,0.55,267,32,15,24,5,3101,999,20,6515
1495,553933.3884,5485499.527,49.88,544,32,12,607,5,6203,160,20,7629
1496,415487.2291,5384374.002,0.5,267,32,12,24,5,3101,34,60,6931
1497,516638.9765,5403759.189,1.083333333,469,22,3,24,13,6301,888,40,3342
1498,566901.155,5471638.045,34.05555556,544,28,11,603,7,6203,888,20,6436
1499,453854.9721,5400669.547,10.1,1065,2,14,615,8,10101,555,20,7629
1500,395859.9766,5319572.6,8.08,267,42,12,24,5,3101,999,40,6647
1501,514585.9407,5447558.713,8.3625,469,32,3,24,12,6301,888,40,4961
1502,581402.5505,5373344.072,34.42222222,495,15,12,579,5,6402,34,50,6102
1503,534461.2577,5514650.836,3.87,467,2,3,612,7,6201,888,40,3028
1504,397638.3427,5315792.17,0.533333333,267,14,16,24,7,3101,888,20,7527
1505,397644.3026,5315783.17,16.18888889,267,14,16,24,7,3101,888,20,7527
1506,416435.7824,5315260.299,11.8375,267,2,10,752,12,10101,888,10,7329
1507,397546.5771,5272216.01,10.825,256,17,13,24,12,3103,110,20,7479
1508,547035.9292,5287503.976,21.8375,321,14,16,98,8,4104,888,10,7887
1509,394129.9443,5308859.613,20.86666667,267,17,17,999,11,3101,888,10,7688
1510,543047.6582,5468211.418,29.45,537,34,16,604,7,6203,888,10,7881
1511,408563.955,5318515.049,17.46,267,5,12,85,5,3101,999,20,8092
1512,558689.2268,5437272.69,7.45,521,46,17,597,7,6301,888,10,8390
1513,529043.5937,5285009.477,12.73333333,290,17,2,98,8,4101,888,10,4708
1514,517877.4796,5378740.352,29.26,508,2,12,585,7,6302,888,20,6544
1515,525413.2619,5322238.119,26.66666667,321,14,3,24,5,4104,888,40,5005
1516,538917.086,5414147.062,0.85,521,32,3,597,7,6301,888,20,5753
1517,514835.7276,5404978.788,17.13076923,521,22,10,597,13,6301,888,10,4797
1518,409472.6352,5316088.035,10.75,267,2,16,85,8,3101,888,10,7241
1519,396558.7069,5274454.296,20.68,256,17,13,520,12,3103,110,20,7651
1520,394831.9271,5320888.129,13.65,267,42,2,791,7,3101,888,40,5184
1521,458054.3707,5427213.997,22.175,263,32,16,24,12,3101,888,10,5939
1522,461231.8194,5452421.651,11.35,263,2,3,85,8,3101,888,40,3599
1523,434166.4747,5400728.87,45.22,267,14,12,24,8,3101,888,40,5728
1524,448826.1824,5412694.015,11.475,263,15,16,33,12,3101,888,20,7901
1525,510007.6206,5388223.449,64.975,508,2,15,585,5,6302,555,10,7027
1526,484277.8938,5335473.562,13.38571429,505,17,15,579,7,6302,10,20,7225
1527,481935.4324,5478854.398,10.59375,559,2,17,615,7,6201,888,10,8647
1528,517883.1797,5411436.485,23.75555556,530,14,16,603,5,6203,888,10,6806
1529,519118.5528,5414215.007,51.88888889,530,14,12,94,5,6301,888,40,6571
1530,545810.6251,5469802.773,23.75,469,32,3,607,7,6203,888,40,5801
1531,520114.7045,5444579.851,53.43333333,521,5,3,597,5,6301,555,10,6353
1532,406331.8072,5345470.432,0.6,267,14,16,85,5,3101,888,10,8459
1533,558562.3403,5425868.72,57.23333333,516,2,16,596,7,6301,888,10,8035
1534,556506.0077,5307803.815,14.85,321,14,1,98,8,4104,888,20,4618
1535,454084.1117,5433449.937,4.8,263,12,3,85,5,3101,888,40,7006
1536,463020.4453,5430157.724,32.16,263,32,12,24,5,3101,888,50,6257
1537,483412.8052,5430852.678,21.53333333,524,5,16,94,5,6203,555,20,7281
1538,426931.7165,5329801.526,3.266666667,1068,32,15,752,8,10101,555,10,7705
1539,395398.1276,5324601.659,28.45555556,267,42,12,24,5,3101,999,20,7176
1540,512101.8889,5290250.687,0.5,287,14,1,999,8,4101,888,40,3713
1541,412951.155,5380795.709,5.7,267,32,15,24,12,3101,555,20,5826
1542,420189.401,5368720.153,13.08,267,14,16,24,12,3101,888,10,6638
1543,460490.6038,5485581.821,0.5,263,5,3,24,13,3101,888,40,4166
1544,463599.2221,5461738.166,8.6375,263,14,3,85,7,3101,888,40,4396
1545,541354.0713,5449873.539,3.48,524,5,15,598,5,6301,555,20,7030
1546,451094.0857,5368661.274,2.38125,557,3,17,612,8,6202,888,10,7780
1547,474087.1126,5357515.114,19.56666667,530,32,3,602,7,6203,888,40,6744
1548,524115.001,5397679.601,39.45,469,32,3,596,12,6301,888,40,3574
1549,566819.7126,5456613.611,10.675,524,34,3,598,5,6301,888,20,6660
